2023-03-23 10:55:59.875 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 10:55:59.966 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 10:55:59.969 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-23 10:56:03.867 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-23T10:56:03.8496203-03:00"
2023-03-23 10:56:38.979 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2023-03-23 11:48:34.956 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 11:48:35.075 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 11:48:35.078 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-23 11:48:37.083 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-23T11:48:37.0629590-03:00"
2023-03-23 11:58:09.903 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 11:58:10.020 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 11:58:10.022 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-23 11:58:14.841 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-23T11:58:14.8284997-03:00"
2023-03-23 11:59:30.930 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 11:59:31.063 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 11:59:31.066 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-23 11:59:34.204 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-23T11:59:34.1847085-03:00"
2023-03-23 12:21:14.147 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 12:21:14.282 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 12:21:14.288 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-23 12:21:18.101 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-23T12:21:18.0900969-03:00"
2023-03-23 12:23:56.803 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 12:23:56.862 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 12:23:56.863 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-23 12:23:59.117 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-23T12:23:59.1091726-03:00"
2023-03-23 12:26:40.221 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 12:26:40.283 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 12:26:40.285 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-23 12:26:42.722 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-23T12:26:42.7108566-03:00"
2023-03-23 12:27:58.898 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 12:27:58.969 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 12:27:58.970 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-23 12:28:00.415 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-23T12:28:00.4091600-03:00"
2023-03-23 12:30:27.936 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 12:30:27.971 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 12:30:27.973 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-23 12:30:29.977 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-23T12:30:29.9712688-03:00"
2023-03-23 13:58:21.078 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-23 13:58:21.140 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-23 13:58:21.142 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
