2023-03-22 16:56:04.239 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T16:56:04.2388640-03:00"
2023-03-22 17:05:42.851 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 17:05:43.245 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 17:05:43.254 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 17:05:46.865 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T17:05:46.8435604-03:00"
2023-03-22 17:05:46.878 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T17:05:46.8781049-03:00"
2023-03-22 17:25:06.741 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 17:25:06.845 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 17:25:06.848 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 17:25:09.353 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T17:25:09.3375785-03:00"
2023-03-22 17:25:09.362 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | ANTES DE COMPARAR: "2023-03-22T17:25:09.3619183-03:00"
2023-03-22 17:29:28.801 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2023-03-22 17:29:28.910 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Environment Name: [Development]
2023-03-22 17:29:28.913 | 1 | INFO | WorkerOE | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2023-03-22 17:29:30.830 | 1 | INFO | WorkerOE | WorkerOE.WorkerFilterCheck | inicio: "2023-03-22T17:29:30.8186257-03:00"
